content;isCorrect;questionId
kindergarten;0;1
activities;1;1
hobby;0;1
equipments;0;1
kindergarten;1;2
secondary school;0;2
overseas;0;2
high school;0;2
pay;0;3
knock;0;3
borrow;1;3
help;0;3
lunch;0;4
gym;0;4
meals;0;4
break time;1;4
poem;0;5
classmate;1;5
swimming pool;0;5
gym;0;5
warm;0;6
excited;0;6
healthy;1;6
quiet;0;6
creative;1;7
hard-working;0;7
quiet;0;7
healthy;0;7
uniform;0;8
pocket money;0;8
equipment;1;8
share;0;8
creative;0;9
excited;1;9
worry;0;9
interesting;0;9
riding;0;10
playing;0;10
knocking;1;10
sharing;0;10
boarding school;1;11
greenhouse;0;11
neighbourhood;0;11
surround;0;11
share;0;12
compasses;1;12
poems;0;12
pencil sharpener;0;12
share;0;13
knock;0;13
interview;1;13
creative;0;13
quiet;0;14
healthy;0;14
international;0;14
overseas;1;14
uniform;1;15
kindergarten;0;15
pocket money;0;15
compass;0;15
creative;0;16
remember;0;16
quiet;1;16
healthy;0;16
remember;0;17
knock;0;17
talk;0;17
ride;1;17
history;0;18
shares;0;18
surround;1;18
science;0;18
school lunch;0;19
poem;1;19
playground;0;19
gym;0;19
greenhouse;1;20
gym;0;20
school;0;20
poem;0;20
cupboard;0;21
dishwasher;0;21
air conditioner;1;21
lamp;0;21
share – apartment;1;22
move – attic;0;22
share – furniture;0;22
move – country house;0;22
wall;0;23
hall;0;23
kitchen;0;23
chest of drawers;1;23
crazy;1;24
attic;0;24
interesting;0;24
briefly;0;24
a hall;0;25
a living room;0;25
a department store;1;25
a stilt house;0;25
dishwasher;1;26
kitchen;0;26
wardrobe;0;26
sink;0;26
furniture;0;27
hall;1;27
messy;0;27
armchair;0;27
sofa;0;28
sink;0;28
wardrobe;1;28
vase;0;28
fridge;1;29
dishwasher;0;29
microwave;0;29
cooker;0;29
upstairs;0;30
attic;0;30
bathroom;1;30
apartment;0;30
wall;0;31
cupboard;1;31
fridge;0;31
lamp;0;31
things;0;32
picture;0;32
desk;0;32
furniture;1;32
fridge;0;33
air conditioner;1;33
television;0;33
lamp;0;33
pillow;1;34
bed;0;34
