content,isCorrect,questionId
nose,0,41
neck,0,41
ears,1,41
hand,0,41
tail,1,42
foot,0,42
leg,0,42
eyes,0,42
arms,0,43
knees,0,43
shoulders,1,43
chest,0,43
tooth,0,44
nose,1,44
elbow,0,44
mouth,0,44
chubby,1,45
finger,0,45
fur,0,45
fat,0,45
chubby,0,46
appearance,1,46
neck,0,46
face,0,46
competitive,0,47
active,1,47
generous,0,47
patient,0,47
serious,1,48
confident,0,48
reliable,0,48
responsible,0,48
shy,0,49
patient,1,49
volunteer,0,49
sporty,0,49
freedom-loving,0,50
independent,0,50
curious,1,50
friendly,0,50
finger,0,51
elbow,0,51
personality,1,51
leg,0,51
independent,1,52
caring,0,52
shoulders,0,52
sensitive,0,52
funny,0,53
boring,0,53
kind,1,53
fur,0,53
funny,0,54
reliable,1,54
sensitive,0,54
tail,0,54
taking,0,55
is taking,0,55
are taking,1,55
take,0,55
make,1,56
do,0,56
play,0,56
ride,0,56
have,0,57
has,1,57
is,0,57
are,0,57
help,0,58
helps,0,58
is helping,1,58
helping,0,58
move,0,59
pass,1,59
have,0,59
turn,0,59
on – to,0,60
on – with,1,60
to - with,0,60
to – to,0,60
